Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,TEKNOLOGI INDUSTRI PERTANIAN,S1,44,608,7.24
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI INDUSTRI PERTANIAN,S1,59,228,25.88
UNIVERSITAS ANDALAS,TEKNOLOGI INDUSTRI PERTANIAN,S1,32,161,19.88
UNIVERSITAS BENGKULU,TEKNOLOGI INDUSTRI PERTANIAN,S1,60,285,21.05
UNIVERSITAS GADJAH MADA,TEKNOLOGI INDUSTRI PERTANIAN,S1,39,616,6.33
UNIVERSITAS JAMBI,TEKNOLOGI INDUSTRI PERTANIAN,S1,45,104,43.27
UNIVERSITAS JEMBER,TEKNOLOGI INDUSTRI PERTANIAN,S1,60,234,25.64
UNIVERSITAS LAMBUNG MANGKURAT,TEKNOLOGI INDUSTRI PERTANIAN,S1,28,164,17.07
UNIVERSITAS LAMPUNG,TEKNOLOGI INDUSTRI PERTANIAN,S1,38,129,29.46
UNIVERSITAS PADJADJARAN,TEKNOLOGI INDUSTRI PERTANIAN,S1,24,267,8.99
UNIVERSITAS PALANGKARAYA,TEKNOLOGI INDUSTRI PERTANIAN,S1,40,53,75.47
UNIVERSITAS RIAU,TEKNOLOGI INDUSTRI PERTANIAN,S1,16,200,8.0
UNIVERSITAS TRUNOJOYO MADURA,TEKNOLOGI INDUSTRI PERTANIAN,S1,68,192,35.42
UNIVERSITAS UDAYANA,TEKNOLOGI INDUSTRI PERTANIAN,S1,32,83,38.55
