Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,PERENCANAAN WILAYAH DAN KOTA,S1,27,183,14.75
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,PERENCANAAN WILAYAH DAN KOTA,S1,38,525,7.24
INSTITUT TEKNOLOGI SUMATERA,PERENCANAAN WILAYAH DAN KOTA,S1,117,616,18.99
UNIVERSITAS DIPONEGORO,PERENCANAAN WILAYAH DAN KOTA,S1,40,989,4.04
UNIVERSITAS GADJAH MADA,PERENCANAAN WILAYAH DAN KOTA,S1,20,394,5.08
UNIVERSITAS JEMBER,PERENCANAAN WILAYAH DAN KOTA,S1,28,354,7.91
UNIVERSITAS PATTIMURA,PERENCANAAN WILAYAH DAN KOTA,S1,25,39,64.1
UNIVERSITAS SAM RATULANGI,PERENCANAAN WILAYAH DAN KOTA,S1,24,85,28.24
UNIVERSITAS SULAWESI BARAT,PERENCANAAN WILAYAH DAN KOTA,S1,28,11,100.0
UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,S1,15,240,6.25
UNIVERSITAS TADULAKO,PERENCANAAN WILAYAH DAN KOTA,S1,25,54,46.3
